Aspire (670),Scores (100),,SUPLEMENTARY 1 (44),,SUPLEMENTARY GEMARA (185),,TableS2 (304),,,TOTAL,,TOTAL
PA4598 mexD,PA4700 mrcB (PBP1b),PA4700,PA2023,PA2023,PA5045 ponA/ mrcA (PBP1a),PA5045,PA4967 parE,PA4967,,PA4599,,PA4599
PA4599 mexC,PA4776 pmrA,PA4776,PA4266,PA4266,PA5235 glpT,PA5235,PA5471 armZ,PA5471,,PA4600,,PA4600
PA4600 nfxB,PA4777 pmrB,PA4777,,,PA5471 armZ,PA5471,PA5485 ampDh2,PA5485,,PA4700,,PA4700
PA4700 mrcB (PBP1b),PA4964 parC,PA4964,,,PA5485 ampDh2,PA5485,,,,PA4776,,PA4776
PA4776 pmrA,PA4967 parE,PA4967,,,,,,,,PA4777,,PA4777
PA4777 pmrB,PA5045 ponA (PBP1A),PA5045,,,,,,,,PA4964,,PA4964
PA4964 parC,PA5235 glpT,PA5235,,,,,,,,PA4967,,PA4967
PA4967 parE,PA5471 armZ,PA5471,,,,,,,,PA5045,,PA5045
PA5045 ponA/ mrcA (PBP1a),PA5485 ampDh2,PA5485,,,,,,,,PA5235,,PA5235
PA5235 glpT,PA5513 poxA,PA5513,,,,,,,,PA5471,,PA5471
PA5471 armZ,PA5514,PA5514,,,,,,,,PA5485,,PA5485
PA5485 ampDh2,PA5542 PIB-1,PA5542,,,,,,,,PA5513,,PA5513
PA5513 poxA,,,,,,,,,,PA5514,,PA5514
PA5514,,,,,,,,,,PA5542,,PA5542
PA5542 PIB-1,,,,,,,,,,PA0355,,PA0355
PA0355 pfpl,,,,,,,,,,PA0357,,PA0357
PA0357 mutY,,,,,,,,,,PA0750,,PA0750
PA0750 ung,,,,,,,,,,PA1816,,PA1816
PA1816 dnaQ,,,,,,,,,,PA3002,,PA3002
PA3002 mfd,,,,,,,,,,PA3620,,PA3620
PA3620 mutS,,,,,,,,,,PA4366,,PA4366
PA4366 sodB,,,,,,,,,,PA4400,,PA4400
PA4400 mutT,,,,,,,,,,PA4468,,PA4468
PA4468 sodM,,,,,,,,,,PA4609,,PA4609
PA4609 radA,,,,,,,,,,PA4946,,PA4946
PA4946 mutL,,,,,,,,,,PA5147,,PA5147
PA5147 mutM,,,,,,,,,,PA5344,,PA5344
PA5344 oxyR,,,,,,,,,,PA5443,,PA5443
PA5443 uvrD,,,,,,,,,,PA5493,,PA5493
PA5493 polA,,,,,,,,,,PA0004,,PA0004
,,,,,,,,,,PA0424,,PA0424
,,,,,,,,,,PA0425,,PA0425
,,,,,,,,,,PA0426,,PA0426
,,,,,,,,,,PA0427,,PA0427
,,,,,,,,,,PA0807,,PA0807
,,,,,,,,,,PA0869,,PA0869
,,,,,,,,,,PA0958,,PA0958
,,,,,,,,,,PA1179,,PA1179
,,,,,,,,,,PA1180,,PA1180
,,,,,,,,,,PA1798,,PA1798
,,,,,,,,,,PA1799,,PA1799
,,,,,,,,,,PA2018,,PA2018
,,,,,,,,,,PA2019,,PA2019
,,,,,,,,,,PA2020,,PA2020
,,,,,,,,,,PA2023,,PA2023
,,,,,,,,,,PA2272,,PA2272
,,,,,,,,,,PA2491,,PA2491
,,,,,,,,,,PA2492,,PA2492
,,,,,,,,,,PA2493,,PA2493
,,,,,,,,,,PA2494,,PA2494
,,,,,,,,,,PA2495,,PA2495
,,,,,,,,,,PA3047,,PA3047
,,,,,,,,,,PA3168,,PA3168
,,,,,,,,,,PA3574,,PA3574
,,,,,,,,,,PA3721,,PA3721
,,,,,,,,,,PA3999,,PA3999
